playlist_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
85,0.23343852631578946,0.6137368421052631,0.6488421052631579,0.03795579631578947,0.12474210526315789,-6.279999999999999,0.06503684210526316,105.25584210526317,0.5264736842105263,77.42105263157895
86,0.2195,0.772,0.3745,0.0,0.1505,-8.4765,0.0927,91.2315,0.39549999999999996,76.5
87,0.312,0.388,0.66,0.000307,0.0943,-7.372,0.0308,143.554,0.401,62.0
88,0.0526,0.746,0.898,0.0,0.0858,-2.818,0.0725,121.967,0.879,73.0
89,0.20841293103448275,0.6096551724137931,0.6733103448275862,0.03006641655172414,0.18255862068965517,-9.394620689655174,0.039379310344827584,123.32493103448274,0.6171724137931034,71.03448275862068
90,0.1743,0.5860000000000001,0.749,7.5649999999999996e-06,0.4905,-9.6685,0.06470000000000001,125.59700000000001,0.8140000000000001,53.0
92,0.212,0.623,0.449,0.0,0.0613,-13.333,0.0253,84.383,0.572,77.0
93,0.20233506666666665,0.6220333333333333,0.6882666666666667,0.0040593980000000005,0.15926,-6.287833333333333,0.055056666666666663,119.07876666666668,0.5637333333333333,77.66666666666667
94,0.37650909090909096,0.5573636363636364,0.5475909090909091,0.007643367727272727,0.17086818181818184,-7.617590909090908,0.04315,116.61763636363638,0.3798409090909091,69.5909090909091
95,0.1948252,0.7615999999999999,0.6900000000000001,0.01308239,0.27485,-5.3939,0.16783,116.7325,0.4554,74.1
97,0.0332925,0.42225,0.77925,0.00562875,0.10229999999999999,-5.89875,0.040900000000000006,118.74625,0.39325,74.25
99,0.5729,0.47450000000000003,0.40225,0.026315,0.0963,-12.9915,0.0902,122.7025,0.549,61.75
100,0.956,0.572,0.168,0.00104,0.127,-14.255,0.107,100.101,0.302,53.0
101,0.4265,0.6639999999999999,0.429,0.0,0.12415,-9.0155,0.0393,140.524,0.6905,71.5
103,0.4417615384615385,0.7038461538461539,0.680923076923077,1.6784615384615382e-06,0.21905384615384615,-6.219615384615385,0.07525384615384616,121.38784615384614,0.7408461538461538,71.23076923076923
104,0.28671625,0.576,0.626125,0.00020935124999999999,0.228425,-7.345875,0.0399375,118.8155,0.353875,70.375
105,0.2847042857142857,0.6192857142857143,0.6639285714285714,0.003898538571428571,0.12106428571428572,-7.251071428571429,0.045028571428571425,116.88878571428572,0.5449642857142857,74.07142857142857
106,0.16015000000000001,0.66625,0.83225,0.032256355,0.160475,-7.15025,0.0716,122.716,0.43425,68.25
107,0.11183022222222222,0.6653333333333333,0.7805555555555556,0.02140447277777778,0.1950722222222222,-4.860777777777778,0.07615,118.82788888888889,0.6387222222222222,77.16666666666667
109,0.15951166666666666,0.4562777777777777,0.6201111111111112,1.908777777777778e-05,0.19365555555555558,-5.996611111111111,0.03178333333333334,124.22516666666667,0.2928722222222222,52.5
110,0.0322,0.77,0.786,0.000664,0.182,-3.516,0.0553,153.8,0.969,45.0
111,0.4205,0.5720000000000001,0.5980000000000001,0.0,0.1185,-7.24,0.03005,148.041,0.504,76.5
112,0.0893,0.636,0.72,0.0178,0.0868,-6.195,0.0432,124.944,0.425,67.0
113,0.06770000000000001,0.6699999999999999,0.687,0.0,0.12595,-5.3965,0.07075000000000001,118.46950000000001,0.4135,78.0
115,0.14536383333333333,0.6207916666666667,0.7302083333333332,0.015374666666666668,0.13627916666666667,-6.7227500000000004,0.08357500000000001,114.48641666666667,0.7027083333333333,72.33333333333333
118,0.11130466666666666,0.6233333333333334,0.8288333333333333,0.0010896666666666667,0.14138333333333333,-4.013833333333333,0.0657,118.19283333333333,0.472,68.5
119,0.060727777777777776,0.5513333333333333,0.7392222222222222,0.011628244444444442,0.2508888888888889,-7.430888888888889,0.055122222222222225,119.45366666666668,0.6303333333333333,75.11111111111111
120,0.23241203076923075,0.551,0.7923846153846154,0.05385026846153846,0.20583846153846153,-8.128692307692308,0.05753076923076923,119.87323076923076,0.7646923076923078,70.07692307692308
121,0.06932638039215686,0.5404705882352941,0.8008823529411765,0.03658078588235294,0.18384705882352942,-5.592509803921569,0.07687450980392156,129.37280392156862,0.47662745098039216,73.84313725490196
122,0.2417,0.5415,0.63725,0.01977749,0.21965,-11.01725,0.0467,132.976,0.68225,70.0
123,0.10099083636363636,0.6974848484848485,0.7682121212121212,0.01626274606060606,0.18159393939393942,-5.459121212121213,0.12315757575757577,121.52718181818182,0.5980606060606061,75.33333333333333
124,0.04437494736842105,0.6679473684210526,0.7362105263157894,0.011957816315789474,0.2260263157894737,-4.770368421052631,0.0891578947368421,127.1607894736842,0.5094736842105263,73.15789473684211
126,0.6336666666666667,0.627,0.4876666666666667,0.0003506366666666666,0.19256666666666666,-13.247333333333335,0.05433333333333334,118.11066666666666,0.828,64.0
